salary,city,company,company_size,tag,work_experience,company_address,job_description,education,age,job_title
面议," 
北京
",北京隐逸数字技术有限公司,公司规模：50-99人,"休闲餐点,发展空间大,子女福利,管理规范,技能培训,岗位晋升,扁平管理,节日礼物,弹性工作,定期体检,绩效奖金",3年以上经验,公司地址：建国门内贡院六号E座7层,"工作职责:
•	协调广告平台产品调研、需求分析、设计规划和项目周期管理
•	独立完成平台原型设计并输出需求文档
•	负责跟进产品功能实现并用运营数据验证转化效果
•	定义AdServer商业逻辑规划及广告优化策略
•	协助流量接入的问题排查及eCPM数据优化
•	规划系统解决方案及产品功能演示
任职要求:
•	本科以上学历
•	3年以上广告产品或技术解决方案经验，移动端广告变现成功案例
•	对于DSP／SSP上下游系统有深入理解
•	熟悉SDK／S2S对接的流量形态，了解流量反作弊机制
•	第三方数据平台（AppsFlyer、Adjust等）对接经验更加
视频广告／游戏行业经验更佳
                            ",统招本科,年龄不限,高级商业化产品经理
10-18万," 
杭州-余杭区
",淘顶网,公司规模：100-499人,"午餐补助,节日礼物,发展空间大,绩效奖金,带薪年假,技能培训,岗位晋升,交通补助,通讯津贴,全勤奖",3年以上经验,公司地址：杭州余杭区五常大道181号华立云立方1号楼5楼,"岗位职责：
1、把握移动互联网产业发展的热点和趋势，负责目标市场的行业分析，产品的调研、策划、设计管理工作；
2、制定产品需求计划，进行可行性分析及设计，撰写产品功能需求说明书，负责需求的跟踪和控制；
3、分析用户行为及需求，制定产品业务规范，整理、完善产品文档、业务流程及相关内容，对产品进行持续的优化和改进；
4、负责与UI设计、研发、测试、售前等团队的沟通，引导完成产品的界面、功能、流程设计、协调开发人员进行开发工作，确保各个协作部门对产品充分的理解，全程推动项目进展，协同完成产品的开发、测试；
5、分析用户需求，完成具体产品的需求分析和策划，独立完成PRD和产品原型；
6、负责产品市场监控、调研与分析，并提出产品优化改进建议；
7、负责日常业务数据分析，跟踪观察用户情况，提供客户支持，并持续改进、完善产品以提高产品的用户体验和用户留存；
任职要求：
1、本科以上学历；
2、有3年以上相关工作经验，具有目前在线的产品；
3、熟悉移动互联网产品交互设计的相关流程，包括功能分析、用户角色分析、原型设计、PRD文档编写等；
4、具备良好的数据与竞争对手分析能力，较好的逻辑思维与分析能力，能够对自有产品提出整改计划；
5、对于用户体验有深刻的理解，能准确把控用户的需求点，能够很好的规划和设计产品功能、使用流程与交互体验；
6、逻辑性强，擅长数据分析和需求调研，有商业意识和一定的行业知识；
7、具备良好的需求分析和产品设计能力，可以产出MRD、PRD、DEMO原型等标准产品文档；
8、想象力丰富，有创意、有激情，具有良好的逻辑思维能力、沟通能力、团队协作能力、学习能力与抗压能力；

",本科及以上,年龄不限,产品经理
12-18万," 
广州
",柚子舍,公司规模：100-499人,"发展空间大,带薪年假,交通补助,扁平管理,领导好,节日礼物,年度旅游,管理规范,技能培训,岗位晋升,五险一金,团队聚餐,全勤奖,休闲餐点,通讯津贴",2年以上经验,公司地址：广州市珠江新城平云路163号广电无线电集团通讯大楼西区六楼（广州远信/柚子舍）,"岗位职责：
1.负责公司移动互联网产品的设计和增长管理;
2.研究、分析用户需求，得到产品的主要案列和使用场景;
3.进行可用性设计，确保需求在产品上的准确传达和用户的理解、认知;
4.通过数据分析等方式，观察产品的发展，对产品形态的迭代和改进负责;
5.与产品运营同事配合，共同改善用户的生命周期指标;
6.拓展产品推广渠道，并管理各渠道的效果。
任职要求：
1.有2年以上移动互联网产品项目经验;
2.良好的洞察力，善于利用数据分析，场景分析等专业手段发现潜在用户需求;
3.掌握可用性设计的专业知识，并具备实际经验，能够运用信息结构，交互设计原则等知识完成可用性高的产品设计;
4.对数字敏感，优秀的定性，定量分析能力，以及严密的逻辑思维;
5.具备适合自己的创新思维体系，并能结合实际的创新案列讲出你的创新过程中的思考方法;
6.敏锐的市场意识，广阔的视野，并有实际的案列证明;
                            ",大专及以上,年龄不限,产品经理
面议," 
上海-徐汇区
",上海添芃网络科技有限公司,公司规模：1-49人,"五险一金,团队聚餐,休闲餐点,发展空间大,岗位晋升,定期体检,弹性工作,绩效奖金,扁平管理,领导好",2年以上经验,公司地址：凤凰园,"工作职责：
1、负责风控系统相关的产品规划、业务流程设计、功能设计、产品优化等工作；
2、规划风控系统和应用系统对接方案，持续完善风控系统流程；
3、负责风控需求管理，包括控制风控需求质量、协调资源制定解决方案及版本进度管理。
任职资格：
1、2年以上工作经验，1年以上金融机构风控系统或风险控制管理产品经验；
2、熟悉风险产品设计或系统分析经验，有风控交易监控相关经验者优先；
3、在消费金融公司、P2P公司、现金贷公司、第三方数据公司等从事信贷风险策略或模型设计者优先；
4、熟悉互联网产品整体项目实现过程，包括业务调研、需求分析、产品发布及上线效果追踪优化。
                            ",本科及以上,年龄不限,资深风控产品经理
18-24万," 
北京
",汉铭信通科技北京,公司规模：500-999人,"五险一金,午餐补助,通讯津贴,交通补助,团队聚餐,弹性工作,绩效奖金,带薪年假,发展空间大,领导好,生育补贴",3年以上经验,公司地址：北京市朝阳区安翔北里11号创业大厦B座11层,"岗位职责： 
1、对公司智慧旅游、全域旅游整体解决方案及相关产品进行规划，负责业务流程、产品原型、PRD等文档的设计和编写；
2、参与公司智慧旅游类产品关于规划、投标等文件的制订和编写工作；
3、负责收集整理智慧旅游产品的资料并出具分析报告，为部门业务人员销售及领导决策提供参考；
4、与各部门的沟通协调等工作。
职位要求：
1、25-40岁，本科以上学历，专业不限；
2、至少具有两年以上的智慧景区、智慧旅游、全域旅游等相关的信息化产品建设及运营经验；
3、能够独立完成产品原型、业务流程和交互界面的设计，并能够独立完成PRD的撰写；
4、具有景区智慧旅游、政府全域旅游或旅游局运行监测平台建设方案经验者优先；
5、良好的计划和执行能力、协调能力和人际沟通能力；
6、积极主动，具备团队意识，具有高度的责任心，能够承受较强的工作压力。

",统招本科,年龄不限,产品经理（智慧旅游方向）
18-30万," 
北京
",易宝支付,公司规模：1000-2000人,"绩效奖金,弹性工作,年度旅游,扁平管理,发展空间大",5年以上经验,公司地址：北京市朝阳区朝外大街甲6号万通中心D座23层,"岗位职责：
1、调研并规划企业账户产品的定位和发展方向，明确产品整体规划路径；
2、负责产品市场政策制定和运营管理；
3、形成产品文档和原型，并协调上下游系统，推动开发、设计、测试完成项目。
任职要求：
1、统招本科及以上学历，五年以上互联网产品经验，两年以上支付产品经验；
2、擅长市场分析，把握产品发展方向和动态，对B端商户有了解；
3、具有较强的领导和组织协调能力，判断力与决策力，优秀的沟通能力，执行力和团队合作精神；
4、学习能力强，逻辑清晰，思路开阔，具有较强的踪迹归纳能力和项目管理能力。

",本科及以上,年龄不限,高级产品经理
30-60万," 
上海
",乾生乾,公司规模：500-999人,"绩效奖金,带薪年假,午餐补助,弹性工作,岗位晋升,五险一金,团队聚餐,节日礼物,领导好,扁平管理",5年以上经验,公司地址：上海长宁区淞虹路207号 明基广场 C座2楼,"岗位职责：
1、负责支付产品的市场和用户需求研究。根据支付产品规划，完成支付产品演进的落实执行工作；
2、负责通过对用户支付产品的部署，支付流程的调整改进，不断提高业务流量，转化率，促进业务的发展；以及与新技术新模式的的深度融合；
3、保障支付以及其他与订单相关环节的风险控制能力，减少风险损失，扩大收入，并在风险控制领域内成为专家；
4、产品日常运营维护，根据各类分析、测试结果和用户反馈，持续改进已上线产品，安排项目优先级。
任职资格：
1、具备敏锐的市场意识，文字及图示表现能力强，较强的逻辑思维和和分析判断能力；
2、熟悉互联网电子商务的常规技术，以及支付产品所需的技术架构；对Java、Linux等平台技术有一定了解；
3、熟练使用各种产品设计软件，具备较强的项目管理、数据统计分析、用户需求分析、产品流程规划、项目提案和实施能力；
4、优秀的协调沟通、解决问题、产品创新能力和文档读写流利；
5、本科以上学历，计算机、数学或相关专业，硕士优先；
6、具有5年以上互联网产品开发项目管理的经验，有2年以上研发经验优先；
7、有核心系统或业务分析经验优先，账务、清结算、交易、支付等。
                            ",统招本科,年龄不限,支付产品经理
12-18万," 
上海-徐汇区
",上海网域网络科技有限公司北京分公司,公司规模：100-499人,"带薪年假,技能培训,岗位晋升,五险一金",3年以上经验,公司地址：虹漕路88号虹越广场B座16F/A,"岗位职责：
1、负责公司产品的研究、分析及产品规划，做好产品价格维护、营销方案与市场推广；
2、负责公司产品日常管理及产品线的运营分析，数据核检；
3、负责内部配合销售、采购等业务关联部门进行产品的业务拓展、项目支持与培训，及产品方案的推进；
4、关注并反馈行业市场的竞争动态， 并向管理层和业务部门提出建议。
5、负责与合作伙伴的商务拓展活动。
职位要求：
1、有良好的产品意识，思维活跃，善于总结，有较好的产品推广能力；
2、较强的数据报表分析能力和敏锐的市场洞察力；
3、具备较强的驱动及团队协作能力，抗压能力强；
4、熟练操作Excel、PPT等Office办公软件；
5、三年以上互联网工作经验。熟悉IDC业务， 电子商务， 互联网广告和游戏业务中的一项。
                            ",大专及以上,年龄不限,IDC产品经理
30-42万," 
北京
",安投融(北京)网络科技有限公司,公司规模：100-499人,"绩效奖金,带薪年假,交通补助,六险一金,领导好,扁平管理,发展空间大,休闲餐点,生育补贴",3年以上经验,公司地址：海淀区南三街中科资源大厦南楼12层,"任职要求：
1. 本科以上学历，211,985优先
2. 金融工程、金融数学、统计学、数量分析等专业优先
3. 5年以上金融从业经验，具备3年以上金融产品设计工作经验
4. 有知名供应链金融、P2P、银行、小贷、融租、保理等金融产品设计经验者优先
5. 优秀的沟通能力和协调能力，执行能力强，具备较强的团队合作精神。
岗位职责:
根据公司战略目标，对目标行业借款客户进行深入研究，结合理财客户的需求设计有竞争力的信贷产品；
负责部门间（业务、风控、运营、法务、合规、研发等）的协调沟通，推进产品项目实施；
根据借款人额度、期限、费率情况，结合出借人期限、利率偏好，设计债权匹配系统，促进交易；
负责借款产品设计，制定金融产品大纲，包括产品说明、业务流程说明、定价策略等；
负责信贷产品定价测算及盈利性管理，根据产品盈利性目标进行分析和规划，优化产品与定价体系；
                            ",本科及以上,年龄不限,金融产品经理
面议," 
北京
",迷你考拉仓(北京)仓储服务有限公司,公司规模：100-499人,"领导好,技能培训,岗位晋升,发展空间大,带薪年假,交通补助,弹性工作,管理规范,五险一金",3年以上经验,公司地址：承冀诚大厦A座319室,"职位概要：
根据公司整体战略，配合公司的产品战略，进行前端（用户端）业务流程及产品原型的规划和设计，从而推动公司业务的持续发展和创新。
岗位职责描述：
1.	根据公司既定的产品规划及战略，进行对应竞争对手的产品调研，输出竞调报告；
2.	结合竞调报告和用户报告的相关内容，进行公司前端产品使用场景，业务流程的梳理，产出前端产品原型；
3.	与技术部门进行沟通，进行产品需求宣讲。配合开发经理共同推动产品研发，保证产品研发过程中个里程碑的时间节点；
4.	主导产品的UAT测试，确保上线产品与产品设计吻合；
5.	持续收集产品上线后的运营数据，用于挖掘产品的新增需求和改善需求，持续进行产品的演进；
6.	完成上级主管交办的其他工作。
任职资格：
1. 大专及以上学历；
2. 有互联网+项目产品经理的工作经历。做过前后端产品优先；
3. 善于学习和思考，具备独立用户视角思考问题的能力；
4. 熟练使用办公自动化软件；
5.	基本技能和素质：
（1）	具备有较强的沟通能力；
（2）	具备较强的计划性、责任心、执行力及推动能力；
（3）	具备一定的项目管理能力；
（4）	熟悉行业知识，了解市场需求；
（5） 具备良好的数据敏感性和逻辑思维能力。

",大专及以上,年龄不限,产品经理-前端方向
